"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Or4",0,35,8,2,7,3,9,4,2,2,0,3,8,1,0,18,4,8,7,1,35,3,1,150,1,2,2,0,2,2,1,0,5,0,0,0,2,0,2,1,0,5,0,0,3,2,4,1,3,19,13,7,1,9,8,9,14,15,4,16,1,2,11,12,3,8,6,12,0,23,5,21,13,14,2,0,90,7,7,2,2,36,22,3,5,15,8,2,3,0,50,15,2,1,0,2,9,1,0,1,0,0,1,3,3,6,2,2,9,3,11,1,12,7,5,14,21,23,1,12,0,23,1,0,30,13,7,1,8,2,13,17,4,9,1,13,4,19,49,0,5,38,3,13,1,0,5,4,19,11,4,4,16,5,3,2,2,20,0,1,5,2,1,0,57,3,0,7,42,3,1,3,0,23,2,0,3,0,0,4,2,0,0
"Or88",35,0,9,1,7,6,6,2,5,0,0,8,1,2,2,18,3,10,5,2,191,4,0,32,1,3,4,1,13,1,1,3,18,0,0,0,6,2,2,0,1,7,0,1,4,0,3,0,1,26,11,5,2,12,6,11,11,9,9,15,2,4,9,7,2,14,4,9,7,20,6,33,11,16,1,5,11,3,5,2,0,22,16,1,4,14,5,4,0,1,20,11,3,5,3,2,5,2,2,0,0,1,0,0,0,4,0,0,8,0,16,1,11,3,7,21,25,20,2,16,1,22,0,0,26,16,5,2,12,3,19,18,4,15,1,8,8,36,234,0,9,55,1,21,2,2,3,2,65,11,8,3,15,4,4,4,2,33,1,3,5,4,0,0,68,1,0,5,57,4,0,2,1,33,1,1,1,1,0,1,1,0,0
"Or54",8,9,0,19,29,5,9,24,0,2,0,0,3,0,0,4,1,8,5,0,7,1,0,19,0,3,14,0,1,16,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,2,2,1,2,4,1,1,3,2,3,0,0,3,2,0,1,0,8,1,4,1,6,6,5,1,0,5,1,0,0,0,3,4,1,0,3,1,0,0,1,13,2,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,1,3,0,2,3,4,2,2,0,6,0,0,4,4,1,1,1,0,0,1,1,3,0,1,1,4,10,0,0,10,0,6,0,0,1,1,7,1,2,0,5,1,0,0,1,7,3,0,1,2,0,0,10,1,0,2,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0
"Or55",2,1,19,0,18,1,7,18,1,2,0,0,1,0,0,2,0,2,2,0,2,2,1,9,0,2,9,0,0,11,12,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,0,0,5,1,2,0,0,0,0,0,3,0,4,0,1,1,4,0,2,0,0,2,1,0,0,0,1,2,0,0,2,1,0,0,0,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,0,2,4,2,0,1,0,6,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,5,0,2,0,0,0,0,3,0,1,0,3,0,0,0,0,5,1,0,0,1,0,0,4,0,0,2,7,0,0,0,0,4,1,0,1,0,0,0,0,0,0
"Or27",7,7,29,18,0,37,10,24,0,3,0,1,5,1,1,10,4,58,36,14,12,2,2,22,0,23,50,0,0,25,18,1,0,1,0,4,0,1,0,0,1,2,0,0,2,0,2,1,2,7,4,1,2,6,11,8,5,9,3,8,2,0,5,4,1,3,0,8,0,9,2,7,6,6,1,4,5,3,3,1,0,13,1,0,2,1,3,1,1,0,12,2,2,0,0,0,3,0,0,0,0,0,2,0,0,3,2,1,2,0,4,0,3,4,2,6,4,2,1,3,0,9,0,1,10,5,3,0,2,1,3,6,1,4,0,4,3,9,16,0,1,9,1,8,1,1,0,2,9,1,1,0,6,0,0,0,1,8,4,0,2,2,1,1,24,0,0,7,18,1,0,1,0,5,0,0,1,0,1,1,1,0,0
"Or26",3,6,5,1,37,0,1,1,0,1,0,1,4,0,1,6,4,46,30,12,6,1,1,12,0,21,32,0,0,6,2,0,1,0,0,1,0,1,1,0,0,2,0,1,4,0,0,0,1,3,1,2,0,3,2,3,5,1,3,6,1,1,1,2,0,5,1,5,0,5,2,8,3,4,0,2,4,2,1,0,0,6,3,0,1,5,1,0,1,1,8,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,1,3,0,3,1,2,3,4,2,0,3,0,0,0,0,7,2,2,0,1,1,7,4,1,1,0,2,4,3,9,0,0,11,0,2,0,0,0,0,1,0,0,0,3,0,0,1,0,9,0,0,2,0,0,1,13,0,0,3,6,0,0,0,0,9,0,0,1,0,0,0,0,0,0
"Or50",9,6,9,7,10,1,0,8,0,1,0,2,2,0,1,1,2,4,1,0,7,1,0,39,1,0,4,0,1,7,9,0,1,1,0,0,0,0,11,0,0,0,0,0,1,3,1,1,1,6,4,2,0,1,1,3,3,3,2,2,0,2,2,1,0,1,0,1,1,5,1,6,6,1,0,0,2,0,2,1,1,2,3,0,1,3,3,1,0,0,36,1,28,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,1,2,3,1,7,0,1,0,6,0,0,5,1,3,1,3,0,3,4,2,1,0,4,5,7,10,0,1,6,0,1,1,1,0,1,6,1,3,0,5,2,2,0,1,5,3,0,1,0,0,0,8,0,0,1,10,1,0,0,0,3,0,0,0,0,0,0,1,0,0
"Or30",4,2,24,18,24,1,8,0,2,1,0,1,1,0,1,1,1,2,1,0,3,0,0,13,0,0,12,0,0,15,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,2,1,4,2,0,0,0,1,2,0,0,0,3,0,2,0,2,3,1,1,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,1,0,2,0,0,3,1,1,0,0,0,0,0,0,2,0,0,1,1,3,0,0,1,1,2,0,0,0,0,5,0,2,0,2,0,0,1,1,3,2,0,0,1,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Or25",2,5,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,2,1,0,6,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,2,0,3,0,3,1,1,0,1,0,0,0,2,0,4,2,3,1,2,2,2,1,2,1,0,0,3,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,0,5,0,0,5,2,3,0,2,0,1,0,5,2,1,0,0,2,0,1,0,0,0,0,3,0,1,9,0,0,6,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,4,0,0,0,1,1,0,7,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Or58",2,0,2,2,3,1,1,1,0,0,0,0,1,0,1,3,0,1,1,0,3,0,0,5,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,0,0,1,1,2,1,18,0,2,0,0,4,5,0,1,1,2,0,3,0,2,0,1,0,1,1,0,3,1,0,5,1,0,1,0,0,0,0,0,3,6,1,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,3,1,1,2,4,0,3,1,4,0,1,1,0,0,0,0,0,2,2,0,2,0,2,0,1,9,0,0,6,0,1,0,0,1,0,2,2,1,0,1,0,1,0,1,1,0,0,0,0,1,0,9,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
