genotype,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5
Orco_only,58,62,39,45,27
Ir76b_only,34,51,26,29,23
Or8_only,31,29,15,21,14
Orco_Ir76b,34,51,25,27,22
Ir76b_Or8,24,24,11,9,11
Orco_Or8,31,29,15,21,14
All,24,24,11,9,11
