genotype,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5
Orco,38,29,35,39,36
Gr3,21,17,22,23,17
Ir75g,11,12,16,12,17
Orco_Gr3,0,0,0,0,0
Gr3_Ir75g,10,12,15,11,17
Orco_Ir75g,0,0,0,0,0
All,0,0,0,0,0
