"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr20i","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Ir40a",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,7,0,1,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,2,1,0,0,0,2,0,0,0,5,0,0,2,0,2,2,0,1,0,2,1,4,2,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"Ir87a1",3,8,0,0,1,1,2,1,0,0,0,0,23,0,0,5,0,4,0,0,7,0,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,1,2,1,2,2,0,3,0,1,1,0,1,1,1,2,0,11,0,2,2,1,0,1,2,0,0,0,1,4,4,1,0,2,2,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,1,4,6,0,1,0,3,0,0,6,4,3,0,2,0,5,5,0,3,0,3,0,4,8,0,0,3,0,2,0,1,2,0,4,2,1,0,1,1,0,0,0,5,0,0,1,1,1,0,9,0,0,0,7,0,0,0,1,3,1,0,0,0,0,1,0,0,0
"Ir87a2",13,4,3,1,5,4,3,1,0,1,0,23,0,0,0,11,2,6,1,1,9,3,0,15,0,2,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,2,1,8,0,0,1,0,3,3,4,6,0,5,2,3,3,0,1,5,2,5,2,6,0,7,3,2,0,2,6,3,0,0,0,9,4,3,1,3,4,0,0,0,9,8,3,0,0,2,4,1,0,0,0,0,2,0,1,0,2,1,1,1,3,2,0,4,0,5,1,9,6,1,2,0,10,1,0,13,6,3,0,1,1,7,7,1,2,1,4,2,7,19,0,1,12,0,4,1,1,1,0,3,1,1,1,5,2,0,0,9,8,0,0,0,1,1,0,28,0,0,4,11,0,1,0,0,7,2,0,1,0,1,2,1,0,0
"Ir7j",2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,2,2,2,0,0,0,2,1,0,1,0,0,1,1,0,0,3,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,1,0,4,0,3,3,1,0,1,1,0,1,2,0,0,0,1,0,1,2,0,2,3,0,2,1,1,1,1,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0
"Ir100a",0,2,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,7,0,2,0,1,0,1,0,0,2,0,1,0,1,1,0,0,0,0,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,0,0,1,0,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Or11",29,28,5,3,14,8,2,2,5,4,2,5,11,0,0,0,5,16,7,1,41,4,0,41,1,2,3,1,1,3,1,2,8,0,0,1,1,1,2,0,1,6,0,0,7,1,5,2,4,31,8,10,2,10,14,14,15,13,6,10,4,2,8,11,8,10,11,12,2,28,5,20,12,10,0,8,18,5,6,0,1,19,13,4,2,11,7,2,2,2,26,18,3,2,0,3,8,4,0,0,0,1,1,2,1,1,7,1,4,11,2,14,0,23,2,6,20,37,29,2,17,0,31,1,1,22,10,6,6,13,2,19,20,2,16,2,27,5,16,57,1,10,37,2,19,4,0,4,1,12,17,5,3,17,6,1,0,5,27,2,1,7,3,2,1,76,1,0,9,49,2,0,3,0,21,1,0,7,0,0,4,2,0,0
"Or41",6,4,1,0,4,5,2,1,0,0,0,0,2,0,0,5,0,4,4,1,3,0,1,5,1,2,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,1,3,0,0,0,1,1,1,5,1,1,2,2,0,3,1,0,2,1,5,0,8,2,5,4,4,1,2,4,33,0,2,1,4,5,1,1,3,1,0,0,0,8,4,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,2,7,8,1,2,1,3,0,0,3,4,2,2,1,0,6,4,1,3,0,1,2,2,7,0,2,8,0,4,0,1,1,0,3,3,2,2,2,1,0,1,0,7,0,0,0,0,0,0,14,0,0,1,5,0,0,2,0,8,0,0,0,0,0,0,0,0,0
"Or79",16,14,10,4,61,51,4,5,2,2,0,4,6,2,1,16,4,0,50,16,16,5,3,29,1,29,49,0,0,13,6,0,4,1,0,0,2,1,1,0,1,2,0,1,4,0,1,3,0,17,7,3,1,4,7,6,6,5,6,12,1,2,7,10,3,10,3,10,2,18,1,17,10,10,0,12,7,1,3,1,0,19,13,3,3,8,5,1,1,1,16,4,4,1,0,0,3,0,0,1,0,0,0,2,2,0,2,2,4,7,1,6,0,11,4,2,6,13,12,0,7,0,14,0,0,17,4,1,3,7,0,9,9,3,8,0,12,3,16,32,0,4,24,0,11,1,1,4,0,9,6,2,1,8,3,2,4,3,24,2,0,4,3,1,0,50,2,0,6,33,4,1,0,0,17,1,0,4,0,0,2,1,1,0
"Or78",14,9,7,4,41,35,1,4,1,1,0,0,1,0,0,7,4,50,0,11,9,1,2,16,0,26,34,1,1,11,6,1,2,0,0,0,1,1,1,0,2,0,0,0,1,0,2,0,0,8,1,0,0,4,2,6,5,3,2,4,2,1,0,2,0,6,0,1,0,10,2,6,6,5,0,3,4,1,3,0,0,7,5,1,2,4,2,0,2,2,3,2,2,1,0,0,3,1,0,0,0,0,1,0,1,0,2,2,2,1,0,1,0,4,0,1,2,8,5,0,3,0,7,0,1,9,0,0,2,0,1,3,4,1,3,0,6,1,6,19,0,2,10,2,4,0,0,1,0,4,3,1,1,3,0,0,1,2,7,0,0,2,1,0,0,19,1,1,3,12,1,1,2,0,7,0,0,1,0,0,0,1,0,0
"Or76",4,4,0,0,16,13,0,1,0,0,0,0,1,0,0,1,1,16,11,0,3,1,0,4,0,9,13,0,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,3,1,1,1,2,0,0,1,1,0,1,1,2,0,1,1,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,1,3,0,1,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,1,1,2,5,0,0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Or36",51,209,10,6,14,9,13,6,9,3,3,7,9,2,3,41,3,16,9,3,0,10,5,55,1,6,8,1,22,5,6,3,43,0,1,2,4,0,2,0,1,11,0,1,7,0,4,3,1,46,16,8,2,9,9,21,23,15,9,24,3,6,15,11,4,20,13,14,7,46,7,38,25,20,1,11,28,3,10,3,2,37,9,3,1,13,15,2,1,1,28,22,4,11,1,13,10,5,2,0,0,1,6,3,1,1,3,1,4,9,4,13,1,22,4,9,25,43,30,1,14,1,37,2,1,44,17,6,5,17,3,22,32,3,19,3,134,4,36,213,0,21,77,2,22,2,3,7,3,66,93,7,4,22,4,3,4,5,50,4,3,14,6,1,1,139,2,1,13,89,2,0,3,1,34,2,1,7,0,0,2,0,0,1
"Or91",7,8,1,2,2,1,1,0,1,0,1,0,3,3,0,4,0,5,1,1,10,0,0,7,0,1,1,0,0,1,0,1,2,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,13,2,1,1,2,6,7,8,6,4,3,0,0,2,3,2,8,3,3,4,5,34,4,3,2,0,3,4,1,3,0,0,7,6,0,0,3,4,0,0,0,7,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,2,0,6,0,2,1,1,5,5,10,1,4,0,13,0,1,9,3,0,3,3,1,6,2,0,3,0,4,1,10,11,0,1,10,0,11,3,0,2,2,5,0,1,0,7,1,0,0,2,6,1,1,0,1,0,1,18,1,0,6,13,0,1,3,0,4,0,1,0,0,0,0,0,0,0
"Or93",2,0,0,1,2,2,0,0,1,0,2,0,0,0,0,0,1,3,2,0,5,0,0,3,4,4,2,0,0,1,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,1,0,1,2,0,0,3,1,0,1,0,0,0,2,0,0,8,0,4,0,1,0,1,1,1,2,0,0,3,3,0,0,1,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,2,1,1,2,1,2,0,2,0,0,1,5,0,0,0,0,1,3,0,0,0,4,0,4,4,0,0,4,0,2,0,0,1,0,1,3,1,0,1,0,7,0,0,3,0,0,0,0,0,0,3,0,0,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Or47",170,50,23,14,35,20,41,19,5,5,3,6,15,1,3,41,5,29,16,4,55,7,3,0,1,8,28,2,6,19,14,2,8,1,2,1,4,1,22,0,1,8,0,0,10,10,6,3,3,46,12,5,2,13,21,26,27,17,11,30,8,8,15,14,7,15,15,16,7,60,8,52,13,25,2,8,94,5,9,4,4,42,31,7,4,19,19,5,2,5,129,21,60,1,2,8,13,7,1,0,0,0,5,6,4,2,7,3,6,14,6,33,4,20,12,11,33,42,31,1,21,3,56,1,2,40,24,5,4,21,1,26,28,12,46,1,28,16,46,93,0,21,82,3,54,1,3,16,5,44,31,8,12,25,7,3,4,7,56,1,2,16,14,2,1,144,3,1,16,88,6,3,3,0,54,1,0,9,0,1,10,2,0,0
"Or99",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,1,1,1,3,1,1,1,0,0,0,1,0,0,14,0,1,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,3,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,4,4,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Or77",6,3,5,4,25,24,0,1,0,1,0,0,2,0,0,2,2,29,26,9,6,1,4,8,1,0,24,0,1,7,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,7,2,1,0,1,1,1,3,2,2,6,0,0,2,1,0,1,1,2,0,5,1,4,1,2,0,2,2,1,1,0,0,5,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,0,4,0,2,0,0,4,1,3,2,2,0,2,0,0,5,2,0,0,0,0,1,1,1,0,0,4,1,4,7,0,0,6,0,1,0,0,0,0,2,1,1,1,2,0,1,1,2,5,0,0,1,1,0,0,14,1,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Or32",11,5,17,13,55,36,7,17,0,2,1,1,3,0,0,3,2,49,34,13,8,1,2,28,0,24,0,0,0,22,13,0,1,0,0,0,1,1,0,0,3,1,0,0,3,0,0,1,0,7,1,1,1,5,4,4,5,5,4,4,1,1,0,1,0,5,1,5,0,10,2,8,3,7,0,1,3,1,2,2,0,6,4,0,4,4,0,0,1,2,9,3,4,0,0,0,2,0,0,0,0,1,1,2,0,0,2,3,1,1,2,2,0,1,0,1,1,1,5,0,4,0,12,0,0,7,2,0,1,1,0,3,4,1,3,0,6,2,7,17,0,2,11,0,3,0,0,1,0,3,4,2,1,4,0,0,1,1,9,2,0,2,2,0,0,22,1,0,5,14,0,1,0,0,7,0,0,0,0,0,0,0,0,0
"Or73",0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Or131",3,16,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,22,0,0,6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,0,3,0,1,2,1,1,1,0,2,0,2,0,2,3,2,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,2,3,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,1,2,3,2,1,1,0,2,0,0,4,2,0,2,0,1,1,2,0,1,0,9,0,0,20,0,2,6,0,0,0,0,0,0,7,9,0,1,1,0,0,0,0,3,0,0,1,0,0,0,13,1,0,1,6,0,0,2,0,3,0,0,1,0,0,0,0,0,0
"Or51",6,2,19,15,31,10,10,20,0,1,0,0,2,0,0,3,1,13,11,3,5,1,1,19,0,7,22,0,0,0,13,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,4,0,0,0,1,3,0,1,3,1,2,0,1,0,0,0,2,0,4,0,5,0,4,2,2,0,1,2,1,0,0,0,2,1,0,0,2,0,0,0,0,9,1,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,2,4,2,1,0,0,3,0,0,4,0,0,0,2,0,1,1,1,1,0,3,3,4,5,0,0,6,0,2,0,0,0,0,3,2,1,0,0,0,0,0,0,5,2,0,0,1,0,0,4,1,0,2,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0
"Or57",4,3,17,15,22,6,11,20,0,0,1,0,0,0,0,1,0,6,6,3,6,0,0,14,0,2,13,0,0,13,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,2,1,3,1,0,1,0,0,0,1,0,4,0,4,1,2,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,1,0,1,0,2,2,0,1,0,5,0,2,5,0,0,5,1,2,0,0,1,0,5,1,1,1,1,0,0,0,1,2,2,0,1,0,0,0,3,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Or92",0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,3,1,6,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,1,3,1,3,1,0,1,0,0,1,1,0,0,12,0,0,0,0,0,1,2,1,2,0,0,3,2,0,0,2,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,5,4,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,4,0,4,6,0,1,1,1,2,0,0,1,0,5,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
