"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr20i","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Or4",0,52,9,4,14,10,10,7,3,3,1,3,13,2,0,29,6,16,14,4,51,7,2,170,1,6,11,0,3,6,4,0,8,0,0,0,4,0,3,1,1,8,0,0,7,2,5,4,5,31,17,9,2,10,14,20,21,19,5,25,1,5,14,15,3,16,9,17,2,35,10,41,19,24,3,5,92,8,8,2,3,43,26,3,6,18,15,2,3,0,55,20,3,4,1,5,10,3,1,1,0,1,2,2,6,3,8,4,5,15,6,15,1,17,8,11,18,32,31,1,17,0,37,2,0,44,20,8,3,9,2,17,24,4,15,2,23,5,27,80,0,15,62,3,20,4,0,12,6,27,19,9,8,26,6,3,2,3,38,0,3,8,2,2,0,99,5,1,8,66,5,1,3,0,39,2,1,5,0,1,6,2,1,0
"Or88",52,0,11,2,15,9,7,4,6,0,0,8,4,3,2,28,4,14,9,4,209,8,0,50,1,3,5,2,16,2,3,3,21,0,0,2,6,2,2,0,1,9,0,1,5,0,3,0,2,41,12,6,2,14,9,14,16,14,13,20,2,6,11,11,3,19,7,14,9,28,8,46,15,25,2,9,15,3,8,3,1,28,20,1,5,18,14,5,1,1,27,14,3,6,3,3,8,3,2,0,0,0,1,0,1,0,7,2,1,13,1,22,1,17,4,10,25,35,29,2,21,1,33,0,1,35,18,6,3,14,3,28,29,5,19,2,11,9,44,269,0,14,76,1,26,3,2,3,3,76,16,11,5,21,4,4,4,3,45,1,4,6,4,0,0,111,2,0,6,79,4,0,3,1,46,1,2,2,1,1,2,2,0,0
"Or54",9,11,0,22,31,8,11,27,0,2,0,0,3,0,0,5,1,10,7,0,10,1,0,23,0,5,17,0,1,19,17,0,2,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,7,2,2,1,2,5,1,3,3,3,4,0,1,3,2,0,3,0,9,1,6,1,8,6,5,1,1,6,1,0,0,0,4,4,1,0,4,1,0,0,1,13,2,3,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,1,1,1,3,0,2,3,0,3,5,4,3,2,0,7,0,0,6,4,1,2,3,0,1,2,1,4,0,4,1,6,16,0,0,14,0,9,0,0,1,1,9,2,2,0,5,1,0,0,2,9,3,0,1,2,0,0,16,1,0,3,7,1,0,0,0,7,0,0,0,0,0,0,0,0,0
"Or55",4,2,22,0,22,4,9,21,1,2,0,0,1,0,0,3,0,4,4,0,6,2,1,14,0,4,13,0,0,15,15,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,3,3,0,2,5,2,3,0,1,0,0,0,4,0,6,0,3,1,6,0,3,0,0,3,1,0,0,0,1,3,0,0,3,1,0,0,0,5,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3,3,0,2,5,3,1,1,0,6,0,0,2,3,0,0,2,0,1,3,0,1,0,4,0,3,5,1,0,8,0,3,0,0,0,0,4,1,1,0,3,0,0,0,1,6,1,0,0,1,0,0,6,0,0,3,7,0,0,0,0,5,1,0,1,0,0,0,0,0,0
"Or27",14,15,31,22,0,40,12,29,0,3,0,1,5,1,1,14,4,61,41,16,14,2,2,35,0,25,55,0,0,31,22,1,1,1,0,4,1,1,0,0,2,2,0,0,2,0,2,1,2,10,4,1,2,8,13,9,8,12,5,10,3,1,5,5,1,6,0,11,0,13,2,12,7,9,1,4,6,3,3,1,0,15,3,0,2,2,3,2,1,1,14,5,3,0,0,0,4,0,0,0,0,0,1,2,0,0,3,2,3,3,1,4,0,4,4,3,7,7,6,3,6,0,12,0,1,14,5,3,1,4,1,5,8,1,4,0,8,3,14,27,0,1,16,1,10,1,1,0,2,12,3,1,1,8,0,0,0,2,14,4,0,2,2,1,1,34,1,0,10,23,1,1,1,0,10,0,0,1,0,1,1,1,0,0
"Or26",10,9,8,4,40,0,2,5,0,1,0,1,4,0,1,8,5,51,35,13,9,1,2,20,0,24,36,0,1,10,6,0,1,0,0,1,0,1,2,0,1,2,0,1,4,0,0,1,1,9,1,3,1,5,3,4,8,1,6,8,2,2,2,3,0,11,1,6,0,8,2,11,5,5,0,4,4,2,1,0,0,8,6,0,1,6,2,0,1,2,9,1,2,0,1,0,2,0,0,1,0,0,0,0,1,0,2,2,1,1,1,3,0,5,1,2,4,8,6,0,5,0,2,0,0,10,3,2,0,1,1,9,4,1,1,0,5,4,6,17,0,1,17,0,4,0,0,0,0,3,1,1,1,4,0,0,1,1,12,0,0,2,0,0,1,23,1,0,6,10,1,1,0,0,13,0,0,1,0,0,0,0,1,0
"Or50",10,7,11,9,12,2,0,10,0,2,0,2,3,0,2,2,2,4,1,0,13,1,0,41,1,0,7,1,1,10,11,0,2,1,0,0,1,0,11,0,0,0,0,0,1,3,1,1,1,10,4,2,0,1,2,3,6,4,3,3,2,4,2,1,0,2,0,2,1,7,1,8,6,2,1,1,4,0,2,1,1,5,3,0,1,4,3,1,0,1,37,1,30,0,0,1,3,1,0,0,0,0,1,1,0,0,1,0,0,1,1,4,0,1,1,3,5,1,9,0,2,0,6,0,0,5,2,4,1,4,1,3,4,4,2,0,9,6,9,15,0,2,13,0,2,1,2,1,1,9,4,3,0,7,2,2,0,1,7,3,0,2,0,0,0,15,0,0,2,11,1,0,0,0,6,0,0,0,0,0,0,2,0,0
"Or30",7,4,27,21,29,5,10,0,2,1,0,1,1,0,1,2,1,5,4,1,6,0,0,19,0,1,17,0,0,20,20,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,1,1,2,2,2,4,3,1,0,1,1,2,0,3,1,6,0,3,0,4,4,1,1,1,3,0,0,0,0,2,1,0,0,1,1,0,0,0,5,2,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,0,1,4,1,1,1,0,3,0,0,3,1,1,0,2,0,1,1,0,2,0,3,1,2,6,0,0,6,1,3,0,0,0,0,7,2,2,1,2,0,0,1,1,4,2,0,0,1,0,0,5,0,0,2,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"Or25",3,6,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,2,1,0,9,1,1,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,2,0,3,2,3,1,3,1,1,0,1,0,0,0,3,0,4,3,3,1,2,2,3,1,2,2,0,0,3,1,0,0,1,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0,5,0,0,5,3,3,0,2,0,1,0,5,2,1,0,0,2,0,1,1,0,0,0,4,0,1,9,0,0,8,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,5,0,0,1,1,1,0,10,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Or58",3,0,2,2,3,1,2,1,0,0,0,0,1,0,1,4,0,2,1,0,3,0,0,5,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,5,0,0,1,2,3,2,19,1,2,1,0,4,5,0,1,1,3,0,3,0,3,2,1,0,1,1,0,3,1,0,5,1,0,1,0,1,0,0,0,3,6,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,2,3,1,2,3,6,0,4,1,7,0,1,3,2,2,0,0,1,4,5,0,2,0,2,0,2,12,0,0,6,0,1,0,0,1,0,3,2,1,0,2,0,1,0,1,2,0,0,0,0,1,0,16,0,0,2,8,0,0,0,0,3,0,0,0,0,0,0,1,0,0
